id,treatment,censor,death_day,death_post_Bd,sex,fitness_d0,fitness_d10,fitness_d20,fitness_end,Bd_d0,Bd_d10,Bd_d20,Bd_end,Rv_d0,Rv_d10,Rv_d20,Rv_end
2,ctr,0,34,34,F,1.066389027,1.094672449,0.90842082,1.023727595,NA,NA,NA,0,NA,NA,NA,0
3,Bd+Rv,1,20,20,F,1.012804213,0.971460663,1.006389762,1.006389762,NA,90.49,17554.912,17554.912,NA,0,0,0
4,Rv,1,33,NA,F,1.128239664,1.187279664,1.026850546,1.082897926,0,NA,NA,NA,0,121802.406,483836,4564718.5
5,Bd+Rv,1,17,17,M,1.173050959,1.131862751,NA,1.124006062,0,788.967,NA,20402.29827,0,964.457,NA,1.645305
6,Bd,1,13,13,F,1.450621698,1.239490407,NA,1.333903248,NA,16326.157,NA,83937.07629,NA,NA,NA,NA
7,RvBd,1,23,13,M,0.972755286,1.005298499,0.996750093,NA,NA,0,15732.205,418605.375,NA,0,1.993,13.978
8,RvBd,1,18,8,F,0.977578886,1.102416055,NA,1.184209313,0,0,NA,71005.891,0,184551.906,NA,433541.969
9,BdRv,1,13,13,F,1.039526664,1.058934923,NA,1.178589511,NA,53871.098,NA,207608.1871,NA,1.091,NA,22.72364446
10,Bd+Rv,1,28,28,M,0.997971679,1.196372636,1.082276772,1.110105639,NA,105.794,346.26,797497.75,NA,3869.343,506.124,0.795
11,BdRv,1,13,13,F,1.080308193,1.070389734,NA,1.169744756,NA,23830.75,NA,125546.5582,NA,0.544,NA,22.70036057
12,Bd,1,15,15,F,1.242077421,1.18624631,NA,1.173713229,NA,14237.469,NA,8823.618711,NA,NA,NA,NA
14,BdRv,1,16,16,F,1.059095973,1.0679344,NA,NA,0,21594.105,NA,25184.97574,0.588,0.249,NA,68.46945989
15,Rv,0,34,NA,M,1.181222414,1.125841718,1.070601464,1.195102546,0,NA,NA,NA,0.771,4.681,0,0.7275
16,Rv,0,34,NA,F,1.161518877,1.177241735,1.173856806,1.209664067,0,NA,NA,NA,0,2.369,0.6385,0
17,ctr,0,34,34,M,1.199949879,1.112772708,1.058935203,1.26185935,NA,NA,NA,0,NA,NA,NA,NA
18,Bd,1,16,16,F,1.151766779,1.289650117,NA,0.97877916,0,7701.796,NA,14101.322,NA,NA,NA,NA
19,Bd,1,12,12,M,1.024554789,1.024383638,NA,NA,NA,4487.366,NA,183844.297,NA,NA,NA,NA
20,ctr,0,34,34,F,1.199211139,1.237034597,1.189453747,1.283966163,NA,NA,NA,0,NA,NA,NA,0
21,ctr,0,34,34,F,0.983654338,1.111611816,1.111179151,1.243759659,0,NA,NA,0,0,NA,NA,0
22,Bd+Rv,1,23,23,M,1.146879254,0.971338343,0.999763429,NA,0,138.512,3572.063,157237.375,0,76.113,0.584,0.647
23,RvBd,1,19,9,F,1.242245506,1.067014867,NA,1.067860421,NA,0,NA,223794.906,NA,2185.376,NA,5725.787
24,Bd,1,16,16,F,0.930917512,1.128968896,NA,NA,NA,25796.445,NA,180905.8633,NA,NA,NA,NA
25,Rv,0,34,NA,M,1.008665409,0.997863578,0.997036604,1.153761706,NA,NA,NA,NA,NA,14.315,0.891,0
26,ctr,0,34,34,F,1.081871291,1.205748457,1.049923342,1.105829331,0,NA,NA,0,0,NA,NA,0
28,Rv,1,16,NA,F,1.145133234,1.0310321,NA,1.089523117,NA,NA,NA,NA,NA,734.844,NA,317479.1946
29,BdRv,1,16,16,M,0.967491906,1.158533672,NA,1.111496148,NA,174215.031,NA,218228.4601,NA,1.721,NA,6479.634393
30,ctr,0,34,34,F,1.265238186,1.183744078,1.142690776,1.185956285,NA,NA,NA,0,NA,NA,NA,0
31,Bd,1,17,17,M,1.221869097,1.207301423,NA,NA,0,12652.148,NA,20474.26003,0,NA,NA,NA
32,Rv,0,34,NA,M,1.112166618,1.061243819,1.062404149,1.132714145,NA,NA,NA,NA,NA,11.258,1.375,0
33,BdRv,1,15,15,F,1.003548501,1.042677826,NA,1.254738562,0,56671.375,NA,54868.04449,0,1.672,NA,95.02271424
34,Bd,1,12,12,F,1.191574813,1.050398066,NA,NA,0,9542.279,NA,187864.563,0,NA,NA,NA
35,RvBd,1,21,11,M,1.195222551,1.1939302,1.116436467,1.088492029,0,0,NA,169389.656,0,3.63,NA,0.9155
36,RvBd,1,23,13,M,1.068924368,1.040698516,1.025366661,1.054144685,NA,0,46454.336,508396.844,NA,1.506,0,7.667
37,Bd,1,13,13,M,1.000594657,1.041935501,NA,1.046294941,NA,8617.809,NA,63122.1032,NA,NA,NA,NA
38,Bd,1,15,15,F,1.057073292,0.985245154,NA,1.193294408,NA,7100.968,NA,67030.36811,NA,NA,NA,NA
39,Bd+Rv,1,17,17,M,1.139705928,1.290670776,NA,1.089262297,0,2271.393,NA,227942.4699,0,23.184,NA,0
40,Rv,0,34,NA,F,1.273982361,1.082380783,1.181532996,1.347961617,NA,NA,NA,NA,NA,9.912,26.535,4.608
41,RvBd,1,14,4,F,1.127183023,0.997003877,NA,1.075390359,NA,0,NA,NA,NA,247.854,NA,NA
42,BdRv,1,12,12,M,1.046196679,1.014079927,NA,NA,0,7995.881,NA,3853.184373,0,0.723,NA,8.28500765
44,ctr,0,34,34,M,1.10361704,1.201656702,1.025002127,1.173943204,0,NA,NA,0,0,NA,NA,0
45,Rv,0,34,NA,M,1.184575679,0.963458223,1.179830497,1.225639606,0,NA,NA,NA,0,287.637,0,0
48,RvBd,1,22,12,M,1.118273639,0.915031569,1.043928775,1.063323317,NA,0,49767.953,117383.914,NA,95700.141,20.852,1.189
49,Bd+Rv,1,14,14,F,0.950479271,1.002407887,NA,1.099700609,0,725.313,NA,85.10681903,0,4038.451,NA,40192.56178
50,ctr,0,34,34,F,1.209155778,1.090960791,1.070297431,1.250678613,NA,NA,NA,0,NA,NA,NA,0
51,ctr,0,34,34,M,1.182818344,1.154302822,0.988708008,1.175759581,0,NA,NA,0,0,NA,NA,0
52,ctr,0,34,34,F,1.126085937,1.114560152,1.007340078,1.181809354,NA,NA,NA,0.782,NA,NA,NA,0
53,RvBd,1,20,10,M,0.9832164,1.136844622,1.054985789,1.054985789,0,3.638,78118.102,78118.102,0,572.918,0,0
54,Bd+Rv,1,17,17,F,0.995420656,1.152331076,NA,1.111325991,NA,1913.802,NA,38100.96861,NA,13.138,NA,8164.656181
55,Bd+Rv,1,20,20,M,1.025605999,1.126322456,1.107600428,1.107600428,NA,601.593,55510.031,55510.031,NA,2.912,227.8885,227.8885
56,Rv,0,34,NA,M,1.123791644,1.068531211,1.189490951,1.266053337,NA,NA,NA,NA,NA,11708.533,0.113,0
57,BdRv,1,17,17,M,1.039701369,1.186575828,NA,1.091334559,NA,4921.177,NA,36299.91867,NA,0.696,NA,0.882252315
58,Bd,1,13,13,M,1.047513897,0.974522242,NA,NA,0,4056.445,NA,47207.43818,0,NA,NA,NA
60,BdRv,1,13,13,M,1.18129372,1.14806396,NA,1.002801491,0,70855.273,NA,4040.398918,0,0.275,NA,257.2317346